w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,6921.72,69766.56,76688.28,best_f1_20.20.3,Source 2
0.1,0.9,5448.6,67898.88,73347.48,best_f1_20.20.3,Source 2
0.2,0.8,5801.4,62089.2,67890.6,best_mean_50.10.2,Source 2
0.3,0.7,6411.96,64935.72,71347.68,best_mean_50.10.2,Source 2
0.4,0.6,6411.96,61907.76,68319.72,best_mean_50.10.2,Source 2
0.5,0.5,6411.96,62021.88,68433.84,best_mean_50.10.2,Source 2
0.6,0.4,6411.96,60524.28,66936.24,best_mean_50.10.2,Source 2
0.7,0.3,6411.96,60527.16,66939.12,best_mean_50.10.2,Source 2
0.8,0.2,6411.96,61387.2,67799.16,best_mean_50.10.2,Source 2
0.9,0.1,6411.96,61387.2,67799.16,best_mean_50.10.2,Source 2
1.0,0.0,6411.96,61387.2,67799.16,best_mean_50.10.2,Source 2
